Code,Quantity,Cost,Serial,Customer
I000001892,1,11000,02203NAHB00168,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00169,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00170,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00171,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00172,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00173,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00174,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00175,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00176,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00177,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00178,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00179,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00180,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00181,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00182,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00183,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00184,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00185,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00188,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00189,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00190,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00191,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00192,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00193,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00194,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00195,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00196,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00197,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00198,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00199,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00200,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00201,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00202,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00205,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00206,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00207,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00209,Roxaco Vanguard Hotels Corporation
